City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,18.05,63,20,2.11,CL,1738509219
1,tazovsky,67.4667,78.7,-29.72,93,13,3.85,RU,1738509220
2,touros,-5.1989,-35.4608,30.94,58,59,6.61,BR,1738509221
3,kavaratti,10.5669,72.642,27.62,77,80,3.26,IN,1738509223
4,papatowai,-46.5619,169.4708,9.66,76,100,3.24,NZ,1738509224
5,santiago del torno,-17.9833,-63.3833,36.47,27,0,3.21,BO,1738509225
6,aykhal,66.0,111.5,-33.03,92,70,2.73,RU,1738509226
7,georgetown,5.4112,100.3354,27.96,68,20,2.24,MY,1738509227
8,carnarvon,-24.8667,113.6333,28.31,65,1,14.45,AU,1738509228
9,khuzdar,27.7384,66.6434,10.57,23,0,2.95,PK,1738509229
10,edinburgh of the seven seas,-37.0676,-12.3116,18.28,84,80,12.21,SH,1738509230
11,adamstown,-25.066,-130.1015,24.58,75,23,4.78,PN,1738509232
12,puerto ayora,-0.7393,-90.3518,25.86,94,8,1.34,EC,1738509233
13,bredasdorp,-34.5322,20.0403,23.87,42,0,8.99,ZA,1738509234
14,tiksi,71.6872,128.8694,-27.29,95,100,9.07,RU,1738509235
15,kantharalak,14.6406,104.6499,24.42,58,10,0.88,TH,1738509236
16,aasiaat,68.7098,-52.8699,-20.91,95,100,1.85,GL,1738509237
17,grytviken,-54.2811,-36.5092,6.21,86,77,2.52,GS,1738509239
18,labuan,5.2767,115.2417,26.72,88,95,1.34,MY,1738509240
19,olonkinbyen,70.9221,-8.7187,-0.83,93,100,7.03,SJ,1738509241
20,dudinka,69.4058,86.1778,-36.12,100,8,1.19,RU,1738509242
21,west island,-12.1568,96.8225,27.99,89,75,7.72,CC,1738509245
22,whitehorse,60.7161,-135.0538,-20.5,76,100,2.68,CA,1738509241
23,enewetak,11.3474,162.3373,27.34,74,95,9.4,MH,1738509247
24,chonchi,-42.6128,-73.8092,15.62,61,49,3.8,CL,1738509248
25,blackmans bay,-43.0167,147.3167,19.07,85,75,1.53,AU,1738509249
26,queenstown,-31.8976,26.8753,30.89,27,11,5.04,ZA,1738509250
27,port-aux-francais,-49.35,70.2167,5.25,98,100,16.65,TF,1738509251
28,constantia,44.1833,28.65,6.5,72,59,4.51,RO,1738509158
29,sitka,57.0531,-135.33,-2.06,46,20,7.2,US,1738509253
30,longyearbyen,78.2186,15.6401,3.91,60,40,6.17,SJ,1738508974
31,morondava,-20.2833,44.2833,29.02,78,100,4.44,MG,1738509256
32,santa ana,33.7456,-117.8678,13.36,88,20,0.0,US,1738509257
33,kralendijk,12.15,-68.2667,25.99,78,40,7.2,BQ,1738509258
34,ash shatrah,31.4117,46.1742,17.38,20,0,4.33,IQ,1738509198
35,ushuaia,-54.8,-68.3,7.1,98,100,2.52,AR,1738509026
36,invercargill,-46.4,168.35,8.36,86,86,2.84,NZ,1738509032
37,saint-philippe,-21.3585,55.7679,27.7,89,50,7.26,RE,1738509262
38,bethel,41.3712,-73.414,-6.55,55,0,2.06,US,1738509000
39,mount gambier,-37.8333,140.7667,18.63,83,46,1.91,AU,1738509265
40,avarua,-21.2078,-159.775,26.03,83,18,2.57,CK,1738509266
41,ritchie,-29.038,24.6028,36.72,12,30,4.29,ZA,1738509267
42,udachny,66.4167,112.4,-33.14,96,83,2.62,RU,1738509268
43,puerto natales,-51.7236,-72.4875,13.25,54,40,10.29,CL,1738509269
44,fauske,67.2588,15.3918,-7.56,81,3,5.33,NO,1738509270
45,faya-largeau,17.9257,19.1043,29.63,8,99,6.11,TD,1738509272
46,punta arenas,-53.15,-70.9167,13.06,54,75,9.26,CL,1738509111
47,urangan,-25.3,152.9,25.41,78,100,7.63,AU,1738509274
48,iqaluit,63.7506,-68.5145,-26.84,68,100,1.34,CA,1738509275
49,yulinshi,38.2906,109.7494,-5.1,45,100,2.54,CN,1738509276
50,kalix,65.853,23.1565,-11.19,89,21,4.58,SE,1738509277
51,nguigmi,14.2495,13.1092,28.47,13,2,2.14,NE,1738509278
52,christchurch,-43.5333,172.6333,14.97,88,69,3.09,NZ,1738509248
53,hanko,59.8333,22.95,-0.65,79,100,8.47,FI,1738509282
54,albany,42.6001,-73.9662,-12.98,70,91,0.45,US,1738509139
55,pueblorrico,5.7918,-75.841,20.08,77,87,1.24,CO,1738509284
56,parun,35.4207,70.9221,-13.59,89,41,5.18,AF,1738509285
57,ribeira grande,38.5167,-28.7,17.22,94,40,7.6,PT,1738509287
58,waitangi,-43.9535,-176.5597,13.39,66,38,7.33,NZ,1738509144
59,olyokminsk,60.3736,120.4264,-38.41,100,77,0.91,RU,1738509289
60,port mathurin,-19.6833,63.4167,27.06,86,100,6.5,MU,1738509290
61,talodi,10.6325,30.3797,35.96,13,8,2.96,SD,1738509291
62,moab,38.5733,-109.5498,1.03,39,100,1.76,US,1738509292
63,polyarnyy,69.1989,33.4478,-12.89,98,43,1.68,RU,1738509293
64,corner brook,48.9667,-57.9484,-10.95,87,100,6.85,CA,1738509294
65,jamestown,42.097,-79.2353,-4.99,60,0,5.66,US,1738509181
66,oranjestad,12.524,-70.027,26.02,78,98,9.35,AW,1738509297
67,bilibino,68.0546,166.4372,-30.46,98,100,1.12,RU,1738509298
68,arraial do cabo,-22.9661,-42.0278,33.92,46,20,7.2,BR,1738509109
69,margaret river,-33.95,115.0667,17.91,73,99,5.98,AU,1738509300
70,beyneu,45.3167,55.2,1.2,89,66,5.33,KZ,1738509301
71,la passe,45.5549,-0.8967,9.25,56,1,0.4,FR,1738509302
72,khash,28.2211,61.2158,9.03,19,3,4.02,IR,1738509303
73,kulhudhuffushi,6.6221,73.07,27.82,76,62,2.84,MV,1738509304
74,ilulissat,69.2167,-51.1,-14.99,78,75,2.06,GL,1738509306
75,anadyr,64.75,177.4833,-15.72,85,100,4.0,RU,1738509307
76,masindi,1.6744,31.715,28.27,30,97,1.02,UG,1738509308
77,talnakh,69.4865,88.3972,-29.27,91,11,1.87,RU,1738509309
78,pizarro,4.9533,-77.366,26.69,85,97,1.74,CO,1738509310
79,crane,31.3974,-102.3501,12.78,17,2,2.49,US,1738509311
80,cidade velha,14.9167,-23.6167,26.26,44,20,10.8,CV,1738509312
81,kristiansund,63.1115,7.732,3.4,60,0,2.57,NO,1738509313
82,that phanom,16.9364,104.7104,24.29,34,29,1.02,TH,1738509315
83,badger,64.8,-147.5333,-13.86,86,100,0.0,US,1738509316
84,kruisfontein,-34.0033,24.7314,21.98,64,65,8.32,ZA,1738509317
85,kutztown,40.5173,-75.7774,-4.56,64,100,1.79,US,1738509318
86,tangalle,6.024,80.7911,25.05,80,100,0.88,LK,1738509319
87,bowen,-20.0167,148.2333,24.58,88,100,9.41,AU,1738509321
88,nizhneangarsk,55.7833,109.55,-25.47,86,86,2.18,RU,1738509322
89,morococha,-11.5997,-76.1411,1.22,100,100,1.9,PE,1738509323
90,fort bragg,35.139,-79.006,9.26,57,75,4.12,US,1738509324
91,nar'yan-mar,67.6713,53.087,-27.16,95,8,4.4,RU,1738509325
92,kourou,5.1552,-52.6478,26.51,84,23,3.6,GF,1738509326
93,praia da vitoria,38.7333,-27.0667,16.19,84,89,8.38,PT,1738509328
94,vorgashor,67.5833,63.95,-28.51,94,5,3.07,RU,1738509329
95,coquimbo,-29.9533,-71.3436,18.85,77,75,5.66,CL,1738509200
96,tutoia,-2.7619,-42.2744,28.48,77,43,5.45,BR,1738509073
97,pemangkat,1.1667,108.9667,25.77,86,97,4.16,ID,1738509332
98,gafsa,34.425,8.7842,13.67,41,3,6.93,TN,1738509333
99,ust'-ilimsk,58.0006,102.6619,-31.63,100,36,0.44,RU,1738509334
100,shitanjing,39.2342,106.3439,-8.28,52,63,8.05,CN,1738509335
101,keelung,25.1283,121.7419,16.64,92,100,5.5,TW,1738509337
102,bandarbeyla,9.4942,50.8122,23.52,65,85,9.92,SO,1738509338
103,mumbwa,-14.9783,27.0619,24.53,84,61,0.55,ZM,1738509339
104,hamilton,39.1834,-84.5333,4.47,82,100,8.23,US,1738509340
105,palembang,-2.9167,104.7458,27.05,83,40,1.54,ID,1738509341
106,masvingo,-20.0637,30.8277,28.28,43,3,4.47,ZW,1738509342
107,puerto maldonado,-12.6,-69.1833,31.22,66,75,4.12,PE,1738509343
108,afaahiti,-17.75,-149.2833,25.96,76,89,5.09,PF,1738509344
109,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.08,PT,1738509345
110,nova sintra,14.8667,-24.7167,22.6,65,12,8.35,CV,1738509347
111,yellowknife,62.456,-114.3525,-33.1,92,19,3.58,CA,1738509348
112,tarawa,1.419,172.984,27.05,83,20,4.63,KI,1738509349
113,nuuk,64.1835,-51.7216,-8.66,86,75,4.12,GL,1738509329
114,laguna,38.421,-121.4238,15.03,81,100,6.69,US,1738509351
115,katima mulilo,-17.5,24.2667,32.59,35,98,3.45,NA,1738509352
116,santa ana de yacuma,-13.75,-65.4333,31.02,65,36,4.82,BO,1738509354
117,phek,25.6667,94.5,8.16,76,71,0.46,IN,1738509355
118,sainte-sigolene,45.2333,4.25,6.49,63,3,2.65,FR,1738509356
119,petropavlovka,50.6114,105.3196,-23.86,93,10,1.74,RU,1738509357
120,al wafrah,28.6392,47.9306,15.98,21,0,3.7,KW,1738509358
121,axim,4.8699,-2.2405,29.15,67,39,3.06,GH,1738509359
122,gamay,12.3854,125.2979,23.53,95,88,1.3,PH,1738509360
123,mogocha,53.7333,119.7667,-19.34,77,100,4.76,RU,1738509361
124,ketchikan,55.3422,-131.6461,-6.01,30,0,6.17,US,1738509363
125,keflavik,64.0049,-22.5624,1.24,86,75,4.12,IS,1738509364
126,klyuchi,52.2667,79.1667,-17.36,100,87,2.35,RU,1738509365
127,ust-nera,64.5667,143.2,-41.31,100,91,0.73,RU,1738509366
128,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,52,0,4.0,RU,1738509367
129,zheshart,62.0731,49.5733,-14.04,91,100,4.97,RU,1738509368
130,padang,-0.9492,100.3543,28.03,89,89,2.28,ID,1738509369
131,jolo,6.05,121.0167,24.71,89,100,1.49,PH,1738509218
132,iskateley,67.6803,53.1512,-27.2,95,8,4.36,RU,1738509371
133,yemva,62.59,50.8594,-17.69,94,96,3.99,RU,1738509373
134,hermanus,-34.4187,19.2345,22.67,62,0,7.2,ZA,1738509374
135,iquitos,-3.7481,-73.2472,27.02,78,75,4.63,PE,1738509375
136,turkmenbasy,40.0222,52.9552,7.57,74,2,1.06,TM,1738509376
137,devils lake,48.1128,-98.8651,-15.01,80,0,9.77,US,1738509377
138,chibougamau,49.9168,-74.3659,-20.48,94,100,2.87,CA,1738509349
139,atafu village,-8.5421,-172.5159,27.87,72,2,5.67,TK,1738509379
140,saldanha,-33.0117,17.9442,19.82,66,0,6.72,ZA,1738509380
141,verkhnevilyuysk,63.4453,120.3167,-36.63,98,84,2.39,RU,1738509381
142,yuzhno-kurilsk,44.0306,145.8556,-6.75,82,49,0.79,RU,1738509383
143,constitucion,-35.3333,-72.4167,20.9,44,100,5.53,CL,1738509384
144,flying fish cove,-10.4217,105.6791,25.82,94,100,6.17,CX,1738509385
145,gangolli,13.65,74.6667,25.12,73,79,2.6,IN,1738509386
146,isafjordur,66.0755,-23.124,3.02,52,40,4.12,IS,1738509387
147,stanley,54.868,-1.6985,7.01,76,40,2.06,GB,1738509388
148,summerside,46.3959,-63.7876,-13.93,56,4,5.14,CA,1738509389
149,minas de marcona,-15.2119,-75.1103,22.34,63,48,3.55,PE,1738509391
150,monrovia,6.3005,-10.7969,29.26,65,77,5.5,LR,1738509392
151,lobito,-12.3481,13.5456,27.05,76,76,4.19,AO,1738509393
152,kapa'a,22.0752,-159.319,18.18,92,100,3.6,US,1738509394
153,maine soroa,13.2114,12.0241,32.28,11,1,2.41,NE,1738509395
154,manay,7.215,126.5397,23.43,85,100,2.53,PH,1738509396
155,kingston,17.997,-76.7936,31.76,57,19,0.1,JM,1738509255
156,laojunmiao,39.8333,97.7333,-9.64,59,3,1.04,CN,1738509398
157,tura,25.5198,90.2201,16.4,48,75,1.91,IN,1738509401
158,shashemene,7.2,38.6,23.63,30,91,3.78,ET,1738509402
159,kodiak,57.79,-152.4072,1.73,75,0,6.69,US,1738509403
160,mbanza kongo,-6.267,14.2401,27.23,71,99,1.77,AO,1738509404
161,gereida,11.2811,25.1414,33.51,9,13,5.73,SD,1738509405
162,chyorny yar,48.0624,46.1091,3.9,78,100,3.44,RU,1738509406
163,oriximina,-1.7656,-55.8661,30.87,53,98,1.05,BR,1738509408
164,ghat,24.9647,10.1728,19.32,17,100,3.72,LY,1738509409
165,yigo village,13.5361,144.8886,26.16,77,40,7.72,GU,1738509410
166,yuktae-dong,40.0247,128.1597,-2.12,83,29,2.2,KP,1738509411
167,lerwick,60.1545,-1.1494,7.64,95,100,8.15,GB,1738509412
168,korla,41.7597,86.1469,-7.62,82,4,1.76,CN,1738509413
169,isangel,-19.55,169.2667,25.66,87,100,7.02,VU,1738509415
170,bardai,11.65,7.2333,33.43,10,5,3.54,NG,1738509416
171,prado,-17.3411,-39.2208,29.11,63,21,6.03,BR,1738509224
172,hobyo,5.3505,48.5268,24.33,73,29,10.31,SO,1738509418
173,sovetskiy,61.3614,63.5842,-14.76,96,99,3.0,RU,1738509419
174,sinabang,2.4803,96.3801,26.47,82,88,1.57,ID,1738509420
175,haiku-pauwela,20.9219,-156.3051,21.22,71,0,4.02,US,1738509421
176,pike road,32.2843,-86.103,10.93,37,0,1.18,US,1738509422
177,al jawf,29.5,38.75,14.62,28,83,2.01,SA,1738509423
178,dubbo,-32.25,148.6167,22.07,68,0,6.69,AU,1738509425
179,akureyri,65.6835,-18.0878,2.96,60,20,2.06,IS,1738509426
180,el nido,11.1858,119.3956,25.08,92,53,3.5,PH,1738509203
181,machico,32.7,-16.7667,20.95,60,20,4.12,PT,1738509429
182,mukalla,14.5425,49.1242,22.31,64,2,1.97,YE,1738509430
183,necochea,-38.5473,-58.7368,35.05,23,1,7.13,AR,1738509431
184,port elizabeth,-33.918,25.5701,23.51,80,11,3.13,ZA,1738509432
185,assab,13.0092,42.7394,25.73,69,65,9.63,ER,1738509433
186,bikaner,28.0167,73.3,17.58,21,0,3.87,IN,1738509271
187,carutapera,-1.195,-46.02,25.95,89,99,0.23,BR,1738509436
188,rio grande,-32.035,-52.0986,27.24,67,0,3.77,BR,1738509437
189,trairi,-3.2778,-39.2689,27.66,80,74,5.11,BR,1738509265
190,tionk essil,12.7856,-16.5217,33.16,7,0,6.48,SN,1738509439
191,sault ste. marie,46.5168,-84.3333,-7.84,86,100,4.63,CA,1738509228
192,happy valley-goose bay,53.3168,-60.3315,-19.88,62,7,6.33,CA,1738509310
193,hadibu,12.65,54.0333,22.34,60,94,6.21,YE,1738509442
194,the pas,53.8251,-101.2541,-17.99,85,100,5.66,CA,1738509445
195,vanimo,-2.6741,141.3028,25.15,93,100,2.76,PG,1738509446
196,itamaraca,-7.7478,-34.8256,29.73,60,0,3.97,BR,1738509447
197,ovalle,-30.5983,-71.2003,24.82,53,3,2.78,CL,1738509369
198,nizhniy kuranakh,58.8353,125.4869,-29.51,100,100,1.14,RU,1738509449
199,castillos,-34.1667,-53.8333,30.05,42,0,3.03,UY,1738509450
200,slidell,30.2752,-89.7812,15.01,80,0,0.45,US,1738509451
201,lohne,52.6667,8.2333,2.15,86,96,1.81,DE,1738509453
